questionId,question,responseOption1_id,responseOption1,responseOption2_id,responseOption2,responseOption3_id,responseOption3,Advertising_Option1,Advertising_Option2,Advertising_Option3,Aerospace_Option1,Aerospace_Option2,Aerospace_Option3,Agriculture and Farming_Option1,Agriculture and Farming_Option2,Agriculture and Farming_Option3,Animal Health_Option1,Animal Health_Option2,Animal Health_Option3,Automotive_Option1,Automotive_Option2,Automotive_Option3,Banking and Finance_Option1,Banking and Finance_Option2,Banking and Finance_Option3,Chemicals_Option1,Chemicals_Option2,Chemicals_Option3,Construction and Engineering_Option1,Construction and Engineering_Option2,Construction and Engineering_Option3,Consumer Goods and Retail_Option1,Consumer Goods and Retail_Option2,Consumer Goods and Retail_Option3,Education and Training_Option1,Education and Training_Option2,Education and Training_Option3,Energy and Utilities_Option1,Energy and Utilities_Option2,Energy and Utilities_Option3,Entertainment and Media_Option1,Entertainment and Media_Option2,Entertainment and Media_Option3,Food and Beverage_Option1,Food and Beverage_Option2,Food and Beverage_Option3,Government and Public Administration_Option1,Government and Public Administration_Option2,Government and Public Administration_Option3,Healthcare and Pharmaceuticals_Option1,Healthcare and Pharmaceuticals_Option2,Healthcare and Pharmaceuticals_Option3,Hospitality and Tourism_Option1,Hospitality and Tourism_Option2,Hospitality and Tourism_Option3,Information Technology and Services_Option1,Information Technology and Services_Option2,Information Technology and Services_Option3,Insurance_Option1,Insurance_Option2,Insurance_Option3,Manufacturing and Industrial_Option1,Manufacturing and Industrial_Option2,Manufacturing and Industrial_Option3,Mining and Extraction_Option1,Mining and Extraction_Option2,Mining and Extraction_Option3,Nonprofit and Philanthropy_Option1,Nonprofit and Philanthropy_Option2,Nonprofit and Philanthropy_Option3,Professional Services_Option1,Professional Services_Option2,Professional Services_Option3,Real Estate and Property_Option1,Real Estate and Property_Option2,Real Estate and Property_Option3,Telecommunications_Option1,Telecommunications_Option2,Telecommunications_Option3,Transportation and Logistics_Option1,Transportation and Logistics_Option2,Transportation and Logistics_Option3,Travel and Aviation_Option1,Travel and Aviation_Option2,Travel and Aviation_Option3,Waste Management and Environmental Services_Option1,Waste Management and Environmental Services_Option2,Waste Management and Environmental Services_Option3,Oil & Gas_Option1,Oil & Gas_Option2,Oil & Gas_Option3,Renewable Energy_Option1,Renewable Energy_Option2,Renewable Energy_Option3,Catering_Option1,Catering_Option2,Catering_Option3,Gaming and Interactive Entertainment_Option1,Gaming and Interactive Entertainment_Option2,Gaming and Interactive Entertainment_Option3,Sports and Recreation_Option1,Sports and Recreation_Option2,Sports and Recreation_Option3,Wellness_Option1,Wellness_Option2,Wellness_Option3
64d2bcef1902d8ba6a46c0e8,How do you typically handle challenges and obstacles in your personal life?,64d2bcf01902d8ba6a46c110,I face them head-on and try to find solutions,64d2bcf01902d8ba6a46c111,I seek guidance and support from others,64d2bcf01902d8ba6a46c112,I take my time to assess the situation before acting,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.8
64d2bcef1902d8ba6a46c0e9,Are you comfortable taking the initiative and leading group projects or activities?,64d2bcf01902d8ba6a46c116,I enjoy leading and organising,64d2bcf01902d8ba6a46c117,I prefer contributing as a team member,64d2bcf01902d8ba6a46c118,It depends on the situation and group dynamics,1,0.5,0.1,0.8,1,0.1,1,0.5,0.1,1,0.5,0.1,0.8,1,0.1,1,0.5,0.1,1,0.5,0.1,0.8,1,0.1,1,0.5,0.1,1,1,0,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,1,0,0.8,1,0.1,1,0.5,0.1,1,1,0.5,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.8,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.7,0.1,1,0.5,0.1,1,0.5,0,1,1,0.1,1,0.5,0.1
64d2bcef1902d8ba6a46c0ea,How do you respond to new or unfamiliar situations that require adaptation?,64d2bcf01902d8ba6a46c128,I embrace change and see it as an opportunity for growth,64d2bcf01902d8ba6a46c129,I feel a bit uneasy initially but adjust gradually,64d2bcf01902d8ba6a46c12a,I find it challenging and prefer familiar environments,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
64d2bcef1902d8ba6a46c0ee,Are you interested in exploring new technologies and their practical applications?,64d2bcf01902d8ba6a46c122,I'm curious about the latest tech advancements,64d2bcf01902d8ba6a46c123,I have some interest but would like to learn more,64d2bcf01902d8ba6a46c124,Technology is not a primary area of interest for me,1,0.5,0.1,1,0.5,0.1,1,0.5,1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,1,1,0.5,0.1,1,0.5,0.1,1,0.5,0.1,1,0.5,0,1,0.5,0.4,1,0.5,0.1,1,0.5,0.1,1,0.5,0.6,1,0.5,0.7,1,0.5,1,1,0.5,1,1,0.5,0.1,1,0.5,1,1,0.5,0,1,0.5,0.1,1,0.5,0.6,1,0.5,0.1,1,0.5,0.3,1,0.5,0.3,1,0.5,0.7,1,0.5,0.1
64d2bcef1902d8ba6a46c0eb,Do you enjoy collaborating with peers to accomplish common goals?,64d2bcf01902d8ba6a46c12e,I thrive in team settings and value teamwork,64d2bcf01902d8ba6a46c12f,I'm comfortable working both independently and in teams,64d2bcf01902d8ba6a46c130,I prefer working alone on tasks,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0
64d2bcef1902d8ba6a46c0ec,How do you cope with stress and pressures in your daily life?,64d2bcf01902d8ba6a46c11c,I manage stress well and stay focused on solutions,64d2bcf01902d8ba6a46c11d,I seek support and practice relaxation techniques,64d2bcf01902d8ba6a46c11e,I find stress overwhelming and struggle to cope,0.5,1,0,1,0.5,0,0.5,0,1,0.5,0,1,1,0.5,0,1,0,0,1,0,0,1,0.5,0,0.5,1,0,1,1,1,1,0.2,0,0.3,1,0,0,0,0,0.5,0.3,1,0.5,0,1,0.5,0.4,0,1,0.5,0,1,0,0,1,0.5,0,0.5,0,0,0.1,0.1,1,1,0.1,0.5,1,0,0.2,1,0.5,0,1,0.5,0,1,1,0,0.5,0,0,1,0,0,1,0,0.5,0.5,1,0.3,1,0.5,0,0.5,1,0,0.5,0.3,1
64d2bcef1902d8ba6a46c0ed,What subjects or hobbies do you find most intriguing and enjoyable?,64d2bcf01902d8ba6a46c134,Technology and innovation,64d2bcf01902d8ba6a46c135,Arts and creative expression,64d2bcf01902d8ba6a46c136,Social causes and community service,0.5,0.5,0.3,1,0.5,0,0.5,0.5,0.3,0.5,0.5,0.3,1,0.5,0,0.5,0.5,0,1,0.5,0,0.5,0.5,0.3,0.5,0.5,0.3,1,0.5,0.1,1,0.5,0,0.5,0.5,0.3,0.5,0.5,0.3,0.5,0.5,0.3,1,0.5,0,0.5,0.5,0.3,1,0.5,0,0.5,0.5,0.3,1,0.5,0.3,1,0.5,0.5,0,0,0,1,0.5,0.5,1,0.5,0.4,1,0.5,0.4,0.5,0.5,0.3,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.4,1,0.5,0,0,0,0,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
64d2bcef1902d8ba6a46c0f0,"Do you prefer working with people, data, or hands-on tasks?",64d2bcf01902d8ba6a46c13a,I enjoy interacting with people and building relationships,64d2bcf01902d8ba6a46c13b,I like working with data and analysing information,64d2bcf01902d8ba6a46c13c,I prefer practical and hands-on activities and projects,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
64d2bcef1902d8ba6a46c0ef,What kind of community or volunteer activities do you have an interest in?,64d2bcf01902d8ba6a46c140,Environmental conservation and sustainability,64d2bcf01902d8ba6a46c141,Education and mentoring programs,64d2bcf01902d8ba6a46c142,Helping under served communities and vulnerable groups,1,1,0.5,0,1,1,0,0.5,1,0,1,0.5,0,1,1,1,1,0.5,0,0.5,1,0,0.5,1,1,0.5,0.3,1,0,0.5,0.5,0.5,0.5,1,0,0,0.5,0.5,0.5,1,1,0,1,0.5,0,1,0.5,0,0.5,1,1,0.7,1,0,0,0.5,1,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,0,1,0.5,0.5,0,0.5,1,0,0.5,1,0,0.5,1,1,0.3,1,0.5,0.5,1,0.5,0.5,1,1,0,0.5
64d2bcef1902d8ba6a46c0f1,Are you passionate about making a positive impact on your local community or society?,64d2bcf01902d8ba6a46c146,I want to contribute to meaningful change,64d2bcf01902d8ba6a46c147,I would like to get involved and make a difference,64d2bcf01902d8ba6a46c148,Making an impact is not a top priority for me,0,0,0,0,0,0,1,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0
64d2bcef1902d8ba6a46c0f2,How confident do you feel in expressing your ideas and thoughts to others?,64d2bcf01902d8ba6a46c14c,I'm very confident and articulate in communication,64d2bcf01902d8ba6a46c14d,I'm comfortable but sometimes feel a bit reserved,64d2bcf01902d8ba6a46c14e,I struggle to express myself effectively,1,0.5,0,0.5,0.2,0,0.5,0.2,0,0.5,0.2,0,0.5,0.2,0,1,0.5,0,0.5,0.2,0,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0.2,0,1,0.5,0,0.5,0.2,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0.2,0,0.5,0.2,0,1,0.5,0,1,0.5,0,1,0.5,0,1,0.5,0,0.5,0.2,0,1,0.5,0,0.5,0.2,0,1,0.5,0,1,0.5,0,0.5,0.2,0,0.5,0.2,0,1,0.5,0,1,0.5,0
