userId,selectedIndustry1,selectedIndustry2,selectedIndustry3,responseToQuestion1,responseToQuestion2,responseToQuestion3,responseToQuestion4,responseToQuestion5,responseToQuestion6,responseToQuestion7,responseToQuestion8,responseToQuestion9,responseToQuestion10,responseToQuestion11,responseToQuestion12,responseToQuestion13,responseToQuestion14,responseToQuestion15,responseToQuestion16,responseToQuestion17,responseToQuestion18,responseToQuestion19,responseToQuestion20,selectedIndustry4,selectedIndustry5
user_391487,Construction and Engineering,Government and Public Administration,Nonprofit and Philanthropy,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,,
user_39341,Construction and Engineering,,,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,,
user_372979,Banking and Finance,Catering,,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,,
user_423592,Healthcare and Pharmaceuticals,,,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,,
user_36561,Transportation and Logistics,,,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,,
user_672402,Automotive,Real Estate and Property,Hospitality and Tourism,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,,
user_832126,Telecommunications,Transportation and Logistics,Sports and Recreation,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,Energy and Utilities,
user_286641,Agriculture and Farming,Food and Beverage,Insurance,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,,
user_640824,Banking and Finance,Renewable Energy,Energy and Utilities,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,Agriculture and Farming,
user_512335,Energy and Utilities,Aerospace,,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,,
user_564753,Entertainment and Media,Banking and Finance,Energy and Utilities,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,,
user_18109,Chemicals,Sports and Recreation,,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,,
user_613269,Automotive,Education and Training,,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,,
user_162583,Advertising,Oil & Gas,Mining and Extraction,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,Education and Training,
user_989350,Insurance,Renewable Energy,Manufacturing and Industrial,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,Construction and Engineering,
user_205516,Entertainment and Media,Banking and Finance,Education and Training,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,Oil & Gas,Animal Health
user_911328,Gaming and Interactive Entertainment,Insurance,Renewable Energy,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,,
user_353463,Government and Public Administration,Animal Health,Agriculture and Farming,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,Healthcare and Pharmaceuticals,
user_776433,Advertising,Hospitality and Tourism,Automotive,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption1,Government and Public Administration,
user_560394,Hospitality and Tourism,Chemicals,,ResponseOption2,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption1,,
user_530587,Wellness,Nonprofit and Philanthropy,,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption2,,
user_425936,Waste Management and Environmental Services,,,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,,
user_351670,Information Technology and Services,Hospitality and Tourism,Government and Public Administration,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption1,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,,
user_929147,Insurance,,,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption2,ResponseOption3,ResponseOption1,ResponseOption1,ResponseOption3,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption3,ResponseOption2,,
user_404537,Automotive,Chemicals,Sports and Recreation,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption1,ResponseOption2,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption2,ResponseOption1,ResponseOption3,ResponseOption3,ResponseOption1,ResponseOption2,ResponseOption3,,
